Grupo;Practica1;Practica2;Practica3;TotalPracticas;EvaluacionParcial;ExamenJunio;NotaFinalJunio;ExamenSeptiembre;NotaFinalSeptiembre
A;;0;;;0,33;;0,33;;
A;0,31;0;0,23;0,54;0,17;;0,71;;
A;0,5;0,5;0,49;1,49;0,3;1,29;3,08;4,51;6
A;0,63;0,57;0,51;1,71;0,7;2,79;5,2;;
A;0,56;0,33;0,55;1,44;;;1,44;;
A;0,56;0,4;0,55;1,51;0,7;2,27;4,48;1,94;3,45
A;0,64;0;;0,64;0,33;;0,97;;
A;0;0,48;0,36;0,84;0,6;2,01;3,45;3,43;4,27
A;0,5;0,11;0,34;0,95;;0,86;1,81;1,14;2,09
A;0;0,46;0;0,46;;0,64;1,1;;
A;0,53;0;0;0,53;0,33;;0,86;;
A;0,59;0,6;0,55;1,74;1,73;4,5;7,97;;
A;0,49;0;0,55;1,04;0,17;;1,21;;
A;0,42;0,36;0,53;1,31;0,2;1,41;2,92;4,23;5,54
A;0,6;0,33;0,52;1,45;1,5;2,19;5,14;4,8;6,25
A;0,1;0;;0,1;;;0,1;;
A;0;;;;0,07;0,81;0,88;3,54;3,54
A;0,6;0,33;0,52;1,45;1,5;3,56;6,51;;
A;0,6;0,48;0,46;1,54;0,43;2,27;4,24;3,6;5,14
A;0,56;0,57;0,51;1,64;0,93;2,14;4,72;3,6;5,24
A;0,53;0,55;0,33;1,41;0,73;3;5,14;;
A;0;0;;0;;1,5;1,5;3,31;3,31
A;0,56;0,53;0,55;1,64;0,2;0,99;2,83;2,57;4,21
A;0,63;0,57;0,51;1,71;;2,57;4,28;3,14;4,85
A;0,6;0,33;0,52;1,45;;0,21;1,66;0,8;2,25
A;0,53;0,55;0,33;1,41;1,3;3;5,71;;
A;0,42;0,36;0,53;1,31;-0,03;1,71;2,99;;
A;0,46;0,33;0,55;1,34;0,2;;1,54;3,66;5
A;0,42;0,36;0,53;1,31;0,17;3,21;4,69;;
A;0,59;0,57;0,55;1,71;0,67;4,07;6,45;;
A;0,53;0;0,33;0,86;0,7;1,63;3,19;;
A;0,54;0,5;0,49;1,53;0,17;2,1;3,8;5,43;6,96
A;0,51;0,46;0,32;1,29;1,13;1,71;4,14;1,94;3,23
A;0;0,32;0;0,32;;0,81;1,13;;
A;0,6;0,46;0,32;1,38;1,33;3,56;6,27;;
A;0,53;0,55;0,33;1,41;0,4;;1,81;;
A;0,6;0,48;0,46;1,54;0,37;2,74;4,65;;
A;0;0;;0;;1,63;1,63;;
A;0;0;;0;1,03;2,14;3,18;2,11;2,11
A;0,6;0;0,32;0,92;0,63;0;1,55;3,1;4,02
A;0,6;0,48;0,46;1,54;0,67;3,43;5,64;;
A;0,63;0,6;0,55;1,78;1,7;5,79;9,27;;
A;;;;;0,77;2,31;3,08;4,17;4,17
A;0,6;0;0,32;0,92;1;3,21;5,13;;
B;0,13;0;0,18;0,31;0,4;2,79;3,5;4;4,31
B;0;0,34;0,31;0,65;;;0,65;;
B;0,7;;0,61;1,31;0,27;2,79;4,36;1,14;2,45
B;0,5;0,23;0,2;0,93;1,13;2,36;4,42;2,57;3,5
B;0,13;0,4;0,45;0,98;0,87;3,64;5,49;;
B;0,47;0,49;0,42;1,38;0,77;2,79;4,93;;
B;;;;0;0,67;;0,67;;
B;0,13;0;0,18;0,31;0,53;3,43;4,28;4,06;4,37
B;0,4;0,35;0,6;1,35;0,27;4,29;5,9;;
B;0,5;0,23;0,2;0,93;0,47;;1,4;;
B;0;0;0,47;0,47;0,1;;0,57;0,57;1,04
B;0,44;0,3;0,2;0,94;1,07;0,56;2,56;;
B;0;0;0;0;0,47;;0,47;;
B;0;0,34;0,31;0,65;0,97;1,93;3,55;1,14;1,79
B;0,13;0,4;0,45;0,98;1,13;3,81;5,93;;
B;0,23;0,23;0,2;0,66;0,9;3,64;5,21;;
B;0;0;0;0;0,13;3;3,13;;
B;0,4;0,28;0,6;1,28;;0,47;1,75;4,57;5,85
B;0,37;0,54;0,47;1,38;0,63;4,71;6,73;;
B;0;0;0;0;0,97;1,29;2,25;;
B;0,4;0,28;0,6;1,28;;;1,28;;
B;0,6;0,4;0;1;0,57;2,79;4,36;2;3
B;0,47;0,49;0,42;1,38;0,67;0,64;2,69;;
B;0,47;0,49;0,42;1,38;1,1;2,79;5,26;;
B;0,27;0,25;0;0,52;0,4;;0,92;;
B;0,47;0,49;0,42;1,38;0,7;4,93;7,01;;
B;0,4;0,35;0,6;1,35;0,33;3,43;5,11;;
B;0,6;0;0;0,6;0,33;;0,94;;
B;0,47;0,49;0,42;1,38;0,2;3,43;5,01;;
B;0,13;0;0;0,13;0,4;;0,53;;
B;0,6;0;0;0,6;0,93;1,71;3,25;;
B;0,27;0,28;0,22;0,77;0,47;;1,23;;
B;0,47;0;0;0,47;;1,93;2,4;;
B;0,44;0;0;0,44;0,3;;0,74;;
B;0,27;0;0;0,27;0,23;;0,5;;
B;0,37;0;0;0,37;1,47;0,21;2,05;;
B;0,57;0,47;0,4;1,44;0,73;2,79;4,96;;
B;0;0;0,47;0,47;1,1;4,29;5,86;;
B;0;0;0,47;0,47;0,93;;1,4;;
B;0,37;0,54;0,47;1,38;0,57;2,87;4,82;;
B;0,5;0;0,59;1,09;0,57;4,07;5,73;;
B;0,5;;0,28;0,78;;1,5;2,28;1,43;2,21
B;0;0;0,47;0,47;0,47;;0,94;;
B;0,5;0,45;0,59;1,54;0,43;;1,98;;
B;0,27;0,09;0,25;0,61;0,5;1,93;3,04;6,57;7,18
B;0,57;0,47;0,4;1,44;1,57;3,86;6,86;;
B;0,47;0;0;0,47;;2,14;2,61;2,29;2,75
B;0,5;0,45;0,59;1,54;0,73;3,86;6,13;;
B;0,57;0,47;0,4;1,44;0,6;3,86;5,9;;
B;0,07;0,09;0,47;0,63;0,33;3,86;4,82;;
B;;;;0;0,47;;0,47;1,43;1,43
B;0,47;0;0;0,47;0,17;3,86;4,49;;
B;0,5;0,45;0,59;1,54;0,33;1,07;2,95;;
B;0,5;;0,28;0,78;0,3;;1,08;;
B;0,07;0,09;0,47;0,63;0,73;3,86;5,22;;
B;0,5;0,52;0,59;1,61;1,33;5,57;8,52;;
B;0;0;0;0;0,27;;0,27;;
B;0,5;;0,28;0,78;0,8;0,86;2,44;;
B;0,6;0,4;0,52;1,52;0,7;3;5,22;;
B;0,6;0,47;0,52;1,59;0,7;3,13;5,42;;
B;0,37;0,54;0,47;1,38;1,03;4,29;6,7;;
B;0,37;0;0;0,37;0,27;;0,64;;
B;0,27;0,28;0,22;0,77;0,77;;1,53;6,06;6,83
B;0,5;;0,28;0,78;0,7;0,64;2,13;;
B;0,07;0,09;0,47;0,63;0,73;3,56;4,92;;
B;0,57;0,47;0,4;1,44;0,6;1,71;3,75;;
B;0,27;0,09;0,25;0,61;0,33;3,21;4,16;1,14;1,75
B;0,47;0,1;0;0,57;0,43;;1;1,43;2
B;0,57;0,54;0,4;1,51;1,03;3,64;6,19;;
B;0,5;;0,28;0,78;;1,71;2,5;;
B;0,27;0;0,25;0,52;;1,71;2,23;5,14;5,66
B;0,07;0,09;0,47;0,63;0,67;2,14;3,44;;
B;0,23;0;0,25;0,48;0,5;0,21;1,2;;
B;0;0,25;0;0,25;0,4;;0,65;2,86;3,11
B;0,27;0,09;0,25;0,61;0,6;;1,21;;
